0,1.26651e-11,1.25638e-10,2.10449e-27,0,0,6.25e-07,20.2407,23.1981,70.1216,86.6456
0.02,7.73837e-11,3.38617e-09,5.05512e-08,8.26245e-47,6.85697e-48,6.24447e-07,20.2407,23.1981,70.1216,86.6456
0.04,2.71487e-10,1.30408e-08,2.02164e-07,2.82613e-31,2.75957e-29,6.2377e-07,20.2404,23.1981,70.1215,86.6444
0.06,5.94744e-10,2.90776e-08,4.54658e-07,1.01587e-29,9.92977e-28,6.2297e-07,20.2399,23.1981,70.1215,86.6421
0.08,1.04671e-09,5.14746e-08,8.07687e-07,1.12638e-28,1.10258e-26,6.22047e-07,20.2391,23.1982,70.1213,86.6387
0.1,1.62675e-09,8.01993e-08,1.26075e-06,7.02118e-28,6.88532e-26,6.21002e-07,20.2381,23.1983,70.1212,86.6341
0.12,2.334e-09,1.15209e-07,1.81318e-06,3.08636e-27,3.0333e-25,6.19834e-07,20.2368,23.1984,70.121,86.6284
0.14,3.16741e-09,1.56452e-07,2.46415e-06,1.07135e-26,1.05565e-24,6.18546e-07,20.2352,23.1985,70.1208,86.6216
0.16,4.12573e-09,2.03864e-07,3.21269e-06,3.13478e-26,3.09798e-24,6.17137e-07,20.2334,23.1987,70.1206,86.6136
0.18,5.2075e-09,2.57374e-07,4.05765e-06,8.05712e-26,7.98913e-24,6.15609e-07,20.2313,23.1988,70.1203,86.6045
0.2,6.41105e-09,3.16898e-07,4.99773e-06,1.87034e-25,1.86145e-23,6.13962e-07,20.229,23.199,70.12,86.5943
0.22,7.73455e-09,3.82345e-07,6.03151e-06,3.99908e-25,3.99639e-23,6.12197e-07,20.2264,23.1992,70.1196,86.5829
0.24,9.17594e-09,4.53612e-07,7.15737e-06,7.99021e-25,8.0206e-23,6.10316e-07,20.2236,23.1994,70.1192,86.5705
0.26,1.0733e-08,5.30589e-07,8.37358e-06,1.50816e-24,1.52124e-22,6.08321e-07,20.2205,23.1997,70.1188,86.5569
0.28,1.24033e-08,6.13155e-07,9.67823e-06,2.71199e-24,2.74985e-22,6.06211e-07,20.2172,23.1999,70.1184,86.5422
0.3,1.41842e-08,7.0118e-07,1.10693e-05,4.67713e-24,4.76905e-22,6.03989e-07,20.2137,23.2002,70.1179,86.5264
0.32,1.60731e-08,7.94526e-07,1.25447e-05,7.7777e-24,7.97809e-22,6.01657e-07,20.2099,23.2005,70.1173,86.5095
0.34,1.80668e-08,8.93047e-07,1.41019e-05,1.25258e-23,1.29304e-21,5.99215e-07,20.2059,23.2008,70.1168,86.4915
0.36,2.01623e-08,9.96586e-07,1.57387e-05,1.96073e-23,2.03773e-21,5.96665e-07,20.2017,23.2012,70.1162,86.4727
0.38,2.23563e-08,1.10498e-06,1.74524e-05,2.99228e-23,3.13197e-21,5.9401e-07,20.1976,23.2015,70.1156,86.4551
0.4,2.46454e-08,1.21806e-06,1.92404e-05,4.46347e-23,4.70693e-21,5.91251e-07,20.1932,23.2019,70.1149,86.4365
0.42,2.70259e-08,1.33564e-06,2.10998e-05,6.52199e-23,6.932e-21,5.88389e-07,20.1887,23.2023,70.1142,86.417
0.44,2.94941e-08,1.45755e-06,2.30278e-05,9.35276e-23,1.00229e-20,5.85428e-07,20.184,23.2027,70.1135,86.3966
0.46,3.20462e-08,1.58358e-06,2.50212e-05,1.31844e-22,1.42513e-20,5.82369e-07,20.179,23.2032,70.1127,86.3753
0.48,3.46781e-08,1.71353e-06,2.70769e-05,1.83024e-22,1.99579e-20,5.79213e-07,20.1739,23.2036,70.1119,86.353
0.5,3.73856e-08,1.8472e-06,2.91917e-05,2.50556e-22,2.75643e-20,5.75964e-07,20.1687,23.2041,70.1113,86.3299
0.52,4.01645e-08,1.98438e-06,3.13623e-05,3.38567e-22,3.7583e-20,5.72623e-07,20.1634,23.2046,70.1108,86.3092
0.54,4.30104e-08,2.12485e-06,3.35852e-05,4.52029e-22,5.06347e-20,5.69193e-07,20.1579,23.2051,70.1105,86.2879
0.56,4.59187e-08,2.26838e-06,3.58569e-05,5.96536e-22,6.74582e-20,5.65677e-07,20.1523,23.2056,70.1101,86.2658
0.58,4.8885e-08,2.41475e-06,3.81737e-05,7.78415e-22,8.89311e-20,5.62075e-07,20.1465,23.2062,70.11,86.243
0.6,5.19044e-08,2.56372e-06,4.05322e-05,1.00521e-21,1.16098e-19,5.58392e-07,20.1407,23.2067,70.1101,86.2194
0.62,5.49722e-08,2.71506e-06,4.29284e-05,1.28555e-21,1.50186e-19,5.5463e-07,20.1347,23.2073,70.1106,86.1952
0.64,5.80836e-08,2.86852e-06,4.53587e-05,1.62929e-21,1.92632e-19,5.50791e-07,20.1286,23.2079,70.1111,86.1702
0.66,6.12335e-08,3.02387e-06,4.78191e-05,2.04756e-21,2.45104e-19,5.46877e-07,20.1224,23.2085,70.1118,86.1445
0.68,6.44171e-08,3.18084e-06,5.03057e-05,2.55286e-21,3.09534e-19,5.42892e-07,20.1161,23.2091,70.1126,86.1182
0.7,6.76292e-08,3.33919e-06,5.28146e-05,3.15918e-21,3.8814e-19,5.38838e-07,20.1097,23.2098,70.1135,86.0912
0.72,7.08647e-08,3.49867e-06,5.53419e-05,3.88205e-21,4.83469e-19,5.34718e-07,20.1032,23.2105,70.1145,86.0635
0.74,7.41186e-08,3.65902e-06,5.78834e-05,4.73865e-21,5.98422e-19,5.30535e-07,20.0966,23.2111,70.1156,86.0351
0.76,7.73856e-08,3.81999e-06,6.04352e-05,5.74786e-21,7.36293e-19,5.26291e-07,20.0899,23.2118,70.1168,86.0062
0.78,8.06605e-08,3.98132e-06,6.29932e-05,6.93034e-21,9.00811e-19,5.2199e-07,20.0834,23.2125,70.1181,85.9813
0.8,8.39382e-08,4.14275e-06,6.55534e-05,8.30862e-21,1.09618e-18,5.17634e-07,20.0768,23.2132,70.1193,85.9561
0.82,8.72133e-08,4.30402e-06,6.81115e-05,9.90709e-21,1.32711e-18,5.13226e-07,20.0702,23.214,70.1206,85.9304
0.84,9.04808e-08,4.46487e-06,7.06637e-05,1.17521e-20,1.59889e-18,5.08768e-07,20.0636,23.2147,70.1219,85.9042
0.86,9.37354e-08,4.62505e-06,7.32058e-05,1.3872e-20,1.91741e-18,5.04265e-07,20.0569,23.2155,70.1232,85.8775
0.88,9.69718e-08,4.7843e-06,7.57337e-05,1.62972e-20,2.28923e-18,4.99718e-07,20.0501,23.2163,70.1246,85.8503
0.9,1.00185e-07,4.94237e-06,7.82435e-05,1.90599e-20,2.72162e-18,4.95131e-07,20.0433,23.2171,70.126,85.8227
0.92,1.0337e-07,5.09899e-06,8.07311e-05,2.21946e-20,3.22261e-18,4.90507e-07,20.0365,23.2179,70.1274,85.7946
0.94,1.06521e-07,5.25392e-06,8.31926e-05,2.57378e-20,3.80109e-18,4.85848e-07,20.0297,23.2187,70.1288,85.7661
